split,v0,theta_deg,drag,range
0,2.99825660149904927e+01,5.00372824928172619e+01,9.01410169744256209e-03,5.55975548265515229e+01
0,6.23752571353628511e+01,2.80310089860711216e+01,5.22043580631705167e-02,3.78086014981253058e+01
0,4.09952223049346571e+01,7.05344120847405804e+01,2.53166735225928002e-02,2.76944019553588028e+01
0,2.46496729832449830e+01,6.53901692621358563e+01,6.72484281761617925e-02,1.22278440171534211e+01
1,7.33501799572690629e+01,3.83020059539664430e+01,6.10393205539620648e-02,3.49284353742122065e+01
0,1.11779099276149090e+01,5.00519544024543777e+01,4.65181430521766359e-02,8.49133585799578405e+00
0,3.12456248619657480e+01,1.78456049490002755e+01,3.82885560150278111e-03,5.00314684732164068e+01
0,7.99318117626756219e+01,7.02093006952089524e+01,2.05476547491812329e-02,4.72553549105622608e+01
0,2.83502757332992630e+01,4.48725032777775894e+01,4.52732461469115000e-02,2.46671926868225277e+01
0,6.94331165301490500e+01,3.52956490551182966e+01,6.00270344022329413e-02,3.51815816475212628e+01
2,5.23978204058992958e+01,6.04162630471425430e+01,2.74214572578586786e-02,4.18237774292078655e+01
2,6.64224995268986618e+01,4.52122209453108752e+01,5.50683257467473805e-02,3.45909583247302521e+01
0,5.41222428810434764e+01,1.90846526105147234e+01,8.48701318343929138e-03,9.53928526468575058e+01
0,3.53887799940493863e+01,3.10698826653207689e+01,5.45458019458915228e-02,2.64322358405434166e+01
0,6.32552149208437768e+01,3.16097183425418251e+01,4.39555208186613935e-02,4.35858009666325756e+01
1,1.18539184232780634e+01,1.21374076195288509e+01,6.45750864032362121e-02,4.48895515312900084e+00
0,4.12769066214116336e+01,6.17472734068352267e+01,1.10402021978364927e-02,6.06753926931250547e+01
0,3.60298198909074188e+01,2.12749195428264990e+01,4.42105323764132585e-02,2.83383963116645461e+01
0,4.33951803946144636e+01,3.83650030105773254e+01,4.62543089666369624e-03,1.17535882894333852e+02
0,1.89334480547248738e+01,4.48045470233999268e+01,6.04953906573946765e-02,1.46974510158058251e+01
0,2.55754806162390693e+01,3.02908381527123041e+01,7.52146861131033212e-02,1.68319905219103134e+01
0,4.93436113069796605e+01,6.04991056913443899e+01,4.31744827829152536e-02,2.87798534475373984e+01
0,3.71438380959167773e+01,2.51401286782409485e+01,2.67795051497437438e-02,4.08055251845187428e+01
2,6.54159343913238445e+01,3.11425714965507616e+01,6.55736820672841447e-02,3.22620737444390926e+01
0,5.23595612494260152e+01,2.36039711385408921e+01,6.94185680810072980e-02,2.72933657754957544e+01
0,7.02886679350895918e+01,7.57993764260071856e+01,5.01645953769003783e-02,1.62110150994505133e+01
0,6.12652586127923158e+01,3.67782726353797642e+01,3.82866683485789949e-02,4.71478422629144660e+01
0,5.21276413430995476e+01,7.70640129721814446e+01,2.57025673197505897e-02,2.22630202291373180e+01
0,3.01330921537196978e+01,3.80854225854681587e+01,2.95978398264503915e-02,3.41032642552086784e+01
1,6.47932327548317915e+01,1.14995309723385279e+01,5.15571393463896063e-02,3.23523236880685729e+01
0,2.75887304719757260e+01,7.53462709872526091e+01,4.41086523747719131e-02,1.13993870234112382e+01
0,1.52647778270083094e+01,4.90090313724729896e+01,5.62838195642869979e-02,1.18536193062876869e+01
0,7.74005204910259437e+01,7.35167445862363422e+01,7.89848032160691410e-02,1.28469310305446527e+01
0,4.78007843567528425e+01,1.51759920668972264e+01,4.26323012650662234e-02,3.25345080889204539e+01
0,6.41726008284867930e+01,2.77872885144374209e+01,2.03611134027993843e-02,7.61039995339008186e+01
2,4.70455965341252096e+01,2.97856522174680016e+01,2.06366353499080890e-02,6.04880487318109772e+01
0,5.28105811260275004e+01,4.21508425713950174e+01,3.02080594546505314e-02,5.03903770655770700e+01
0,1.23724575361554372e+01,4.44191176357331727e+01,3.70329435660111473e-03,1.47528915316831544e+01
1,2.30755575547665970e+01,2.69300667105276474e+01,5.83034605057328112e-02,1.74185832250008552e+01
0,5.72282576804344245e+01,5.77721687128828947e+01,6.42682645040910383e-02,2.37403265585677339e+01
0,4.99395218566748795e+01,6.75748369156167996e+01,1.12505834068183218e-02,6.00859995901609096e+01
0,2.10988523790698892e+01,4.68751519796973497e+01,5.17335441935549631e-03,3.80383089457318420e+01
0,7.66420488108329323e+01,6.12012442879466789e+01,6.99342802972137412e-03,1.34299248898057186e+02
0,2.08047542783182990e+01,6.32528320200835878e+01,3.18698312291646399e-02,1.71920771789526761e+01
2,4.57212274817079773e+01,3.20876648159848088e+01,3.80393074815616322e-02,4.02086101639451670e+01
0,2.00802012513480364e+01,5.74768662870200373e+01,1.35215224263800331e-02,2.57367396708891683e+01
0,6.02160208274364237e+01,2.29996326173547665e+01,6.94448845592421510e-02,2.91805161846223555e+01
